code,product_name,ingredients_text,matched_ingredients,predicted_allergens,match_count
0000112301878,pot au feu de légumes aux aromates,"es laisirs % des R.&quot; par NGREDIENTS eau, légumes 27 % (carotte, navet, poireau, pomme de terre, chou vert, céleri, oignon), viande de boeuf cuite 2,2 %, amidon transformé de pomme de terre, sel, arômes (contient : lait, céleri, huile de colza, girofle en poudre, exhausteur de goût: glutamate de sodium, extraits naturels de thym, de laurier et de poivre. Peut contenir des traces de blé et oeuf 3% 3% 1% 3% 3% | | 7% 31% dulte",,,0
0001121325632,"Cashews, salted","Cashews, peanut and/or canola and/or cottonseed oil, sea salt.",cashew;cashews;peanut,peanut;tree_nut,3
0001116103494,Whole roasted cashews,"Cashews, vegetable oil (peanut, cottonseed, soybean and/or sunflower seed), sea salt.",cashew;cashews;peanut;soy;soybean,peanut;soy;tree_nut,5
0000380102109,Chocolate Indulgence IsaLean Whole Blend Whey-Based Bar,"Milk protein isolate, Whey protein cocoa crisps (whey protein isolate, whey protein concentrate, tapioca starch, Dutch cocoa powder, calcium carbonate, sunflower lecithin), Fructooligosaccharides, Glycerin, Polydextrose (3.5 g per serving of 61 g), Sugars (tapioca syrup, sugar), Maltodextrin (tapioca fibre), Modified palm kernel oil, Natural flavours, Almond butter, Whey protein isolate, Water, Sunflower oil, Chocolate liquor, Cocoa butter, Cocoa powder, Sunflower lecithin, Vegetable extract blend (broccoli, spinach, kale, squash, sweet potato, sunflower seed, cranberry, chlorella, maitake mushroom), Salt, Cream, Acacia gum, Carrageenan, Stevia leaf extract, Tocopherols, Peanuts",almond;almond butter;butter;cream;malt;milk;milk protein;peanut;peanuts;whey;whey protein;whey protein concentrate,milk;peanut;tree_nut;wheat_gluten,12
00001403,Sablés Coco Lait,"Farine de blé 27.5%, chocolat au lait 22% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, noix de coco râpée 10%, œufs de poules élevées en plein air 9%, beurre concentré, huile de colza, poudres à lever carbonates de sodium - citrates de sodium (blé), lait écrémé en poudre, malt d'orge, sel, émulsifiant : lécithines (soja), arôme naturel de coco. Peut contenir des traces de graines de sésame et de fruits а сoque.",malt;sesame,sesame;wheat_gluten,2
0000192495165,Dessert végétal à l'amande et au chocolat et à la noisette,"Lait d'amande* à la noisette* 79% (eau, amande* 3%, noisette* 3%), sucre de canne blond*, riz rond blanc de Camargue*, chocolat noir supérieur* 4% (pâte de cacao*, sucre de canne blanc*, beurre de cacao*, extrait de vanille*), poudre de cacao*, sel de Guérande, épaississant : farine de graines de caroube*. Peut contenir des traces de fruits à coque et de lait. Souligné : Commerce Équitable contrôlé Fair for Life : 54 % du total des ingrédients agricoles. *100% des ingrédients d'origine agricole sont biologiques.",,,0
0000252828288,Chick-fil-A nuggets,"chicken (boneless, skinless chicken breast meat nuggets, salt, monosodium glutamate, sugar, spices, paprika, enriched bleached flour [with malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, salt, monosodium glutamate, nonfat milk, leavening [baking soda, sodium aluminum phosphate, monocalcium phosphate], spice, soybean oil, color [paprika], pasteurized nonfat milk, pasteurized egg, fully refined peanut oil [with dimethylpolysiloxane {an anti-foam agent}  added])",barley;egg;malt;milk;peanut;peanut oil;soy;soybean;soybean oil,egg;milk;peanut;soy;wheat_gluten,9
0000105748562,,"Tomatoes (46%), Pasta Shapes (45%, Water, Durum Wheat Semolina), Water, Sugar, Modified Cornflour, Salt, Acid-Citric Acid, Spice, Garlic Salt, Onion Extract, Spice Extract, Iron Sulphate, Vitamin D. May contain Egg.",durum wheat;durum wheat semolina;egg;semolina;wheat,egg;wheat_gluten,5
0001000657163,Tortellini Ricotta Epinard,"pâtes: farine de blé tendre, œuf pasteurisé, semoule de blé dur, eau fourrage; fromage ricotta (lactosérum, lait, sel,  régulateur d'acidité: acide citrique, acide lactique), épinards, flocons de pomme de terre, fromage mozzarella (lait), huile de tournesol, fromage en poudre, fromage (lait), lactosérum en poudre (lait), sels émulsifiants: citrate monosodique, beurre (lait), lactose (lait), chapelure (farine de blé, sel, levure), farine de riz, fibre de blé, sel, noix de muscade.",lactose,milk,1
00000024,Croccante con pistacchi e miele,"Pommes séchées - Dried Apple* Origine: Autriche - Origin: Austria Ce produit provient d'une fabrique où les noix, cacahuètes, sésame, blé et gluten sont utilisés. This producti 024",gluten;sesame,sesame;wheat_gluten,2
